type	lat	lon	name	desc
T	45.171290000	9.592940000		
T	45.171190000	9.593100000		
T	45.170220000	9.594620000		
T	45.170130000	9.594770000		
T	45.170120000	9.594780000		
T	45.170030000	9.594920000		
T	45.169580000	9.595620000		
T	45.169240000	9.596160000		
T	45.169010000	9.596510000		
T	45.168790000	9.596850000		
T	45.167950000	9.598180000		
T	45.167710000	9.598540000		
T	45.167350000	9.599110000		
T	45.166950000	9.599710000		
T	45.166550000	9.600310000		
T	45.166180000	9.600860000		
T	45.165620000	9.601680000		
T	45.165040000	9.602530000		
T	45.164440000	9.603370000		
T	45.163740000	9.604340000		
T	45.163670000	9.604440000		
T	45.163570000	9.604580000		
T	45.162950000	9.605440000		
T	45.161970000	9.606820000		
T	45.161130000	9.607980000		
T	45.160520000	9.608830000		
T	45.160160000	9.609340000		
T	45.159410000	9.610390000		
T	45.159060000	9.610890000		
T	45.158350000	9.611880000		
T	45.157980000	9.612400000		
T	45.156340000	9.614680000		
T	45.154330000	9.617480000		
T	45.153600000	9.618490000		
T	45.152840000	9.619560000		
T	45.151520000	9.621420000		
T	45.149860000	9.623740000		
T	45.148650000	9.625440000		
T	45.148440000	9.625720000		
T	45.147510000	9.627000000		
T	45.146040000	9.629070000		
T	45.144850000	9.630720000		
T	45.144790000	9.630790000		
T	45.144640000	9.631000000		
T	45.144570000	9.631100000		
T	45.144490000	9.631200000		
T	45.143910000	9.632030000		
T	45.143260000	9.632960000		
T	45.141820000	9.634980000		
T	45.141440000	9.635560000		
T	45.141410000	9.635620000		
T	45.141170000	9.635990000		
T	45.140960000	9.636330000		
T	45.140610000	9.636940000		
T	45.140520000	9.637100000		
T	45.140500000	9.637130000		
T	45.140000000	9.638080000		
T	45.139970000	9.638140000		
T	45.139220000	9.639590000		
T	45.138580000	9.640860000		
T	45.138280000	9.641440000		
T	45.137630000	9.642700000		
T	45.136780000	9.644370000		
T	45.136430000	9.645060000		
T	45.136230000	9.645440000		
T	45.135960000	9.645960000		
T	45.135670000	9.646550000		
T	45.135500000	9.646880000		
T	45.135330000	9.647190000		
T	45.135170000	9.647520000		
T	45.134910000	9.648040000		
T	45.131470000	9.654750000		
T	45.128880000	9.659780000		
T	45.128820000	9.659890000		
